gender IQ advice   SES School
895       M  4    Man MidWC     24
896       M  4    Ext  Shop     24
897       M  4    Ext  Prof     24
898       F  3   None  Skil     25
899       F  4    Agr  Skil     25
900       F  5    Man  Skil     25
901       F  5    Man  Skil     25
902       F  5    Man  Skil     25
903       F  5    Agr  LoWC     25
904       F  4   None  Skil     25
905       M  4   None  Prof     25
906       F  4    Man  LoWC     25
907       F  2   None  Skil     25
908       F  3   None  Skil     25
909       F  7    Gen MidWC     26
910       M  7    Gen  Shop     26
911       M  7    Gen  Shop     26
912       F  4    Man  Skil     26
913       M  4    Man  Shop     26
914       M  5    Gen MidWC     26
915       M  6    Gen  Shop     26
916       M  3    Ext  Shop     26
917       M  4    Man  Shop     26
918       F  5    Gen MidWC     26
919       F  6    Man  Skil     26
920       F  3    Man  Skil     26
921       M  5    Man  Shop     26
922       F  4    Man  Skil     26
923       M  5    Man  Shop     26
924       F  6    Gen  Skil     26
925       F  7    Man  Skil     26
926       F  7    Gen MidWC     26
927       F  5    Man  Skil     26
928       F  4    Man  Prof     26
929       M  4    Ext  Shop     26
930       F  7    Gen  Shop     26
931       F  8    Uni  Shop     26
932       M  4    Man  Shop     26
933       F  6    Gen  Shop     26
934       M  5    Man  Shop     26
935       M  4    Ext  Shop     26
936       F  3    Man  Skil     27
937       M  7    Gen MidWC     27
938       M  5    Gen  Skil     27
939       F  7    Gen  Skil     27
940       F  7    Gen  Prof     27
941       F  6    Gen  Skil     27
942       M  7    Gen  Skil     27
943       F  7    Man  Skil     27
944       F  5    Man MidWC     27
945       M  5    Man  Shop     27
946       F  7    Gen  Skil     27
947       M  5    Gen  Skil     27
948       F  9    Uni  Shop     27
949       M  6    Man  Shop     27
950       M  6    Man  Skil     27
951       F  3    Man MidWC     28
952       M  4   None  Shop     28
953       F  4    Ext MidWC     28
954       M  5    Man  Skil     28
955       F  4    Man  Skil     28
956       F  5    Man  Skil     28
957       F  8    Uni  Skil     28
958       M  2    Ext  Shop     28
959       M  4    Man  Shop     28
960       M  5    Man MidWC     28
961       F  7    Uni MidWC     28
962       M  4    Man  Shop     28
963       M  4    Man  Shop     28
964       M  5    Gen  Shop     28
965       F  6    Gen MidWC     28
966       M  5    Man  Shop     28
967       F  6    Man  Skil     28
968       F  5    Man  Skil     28
969       F  5    Man  Skil     28
970       M  3    Man  Shop     28
971       M  4    Man  Shop     28
972       M  5    Man MidWC     28
973       F  4    Man  Shop     28
974       F  5    Man  Skil     28
975       F  6    Agr  LoWC     28
976       F  2    Ext  Shop     28
977       F  7    Gen  Prof     28
978       F  6    Man  Skil     29
979       F  7    Man  Skil     29
980       M  5    Man  Prof     29
981       F  3    Ext  Skil     29
982       F  7    Gen MidWC     29
983       F  5    Man  Skil     29
984       M  4    Man  Shop     29
985       M  5    Man  Skil     29
986       F  5    Gen  Prof     29
987       M  4    Man  Shop     29
988       M  5    Man  Shop     29
989       F  3    Gen  Skil     29
990       F  6    Gen  Skil     29
991       F  6    Gen  Shop     29
992       F  6    Gen  Prof     29
993       M  6    Man  Skil     29
994       F  8    Gen  Skil     29
995       M  5    Man  Skil     29
996       M  7    Gen MidWC     29
997       F  7    Gen  Skil     29
998       M  3    Man  Shop     30
999       M  4    Man  Shop     30
1000      F  5    Gen  Shop     30
1001      M  5    Gen  Shop     30
1002      M  5    Gen  Shop     30
1003      M  6    Gen  Shop     30
1004      M  5    Man  Shop     30
1005      F  3    Ext  Skil     30
1006      M  6    Gen  Shop     30
1007      F  5    Ext  Shop     30
1008      F  3    Ext  LoWC     30
1009      M  5    Gen MidWC     30
1010      F  5    Ext  Skil     30
1011      F  5    Man  Shop     30
1012      F  2    Ext MidWC     30
1013      M  5    Man  Shop     30
1014      M  3    Man  Skil     30
1015      M  5    Man  Skil     30
1016      M  3    Man  Shop     30
1017      F  6    Gen MidWC     30
1018      M  6    Gen  Shop     30
1019      F  4    Ext  Shop     30
1020      F  5    Gen MidWC     30
1021      M  5    Gen  Shop     30
1022      M  3    Man  Skil     30
1023      M  5    Man  Skil     30
1024      M  6    Gen MidWC     30
1025      F  5    Gen  Skil     30
1026      M  5    Man  Shop     30
1027      M  5    Man  Shop     30
1028      F  7    Gen  Prof     30
1029      M  4    Man  Shop     30
1030      M  7    Uni  Shop     31
1031      F  9    Uni  Prof     31
1032      M  7    Uni MidWC     31
1033      M  7    Gen  Shop     31
1034      F  5    Man  Skil     31
1035      F  5    Man  Skil     31
1036      F  3    Ext  Skil     31
1037      M  6    Gen MidWC     31
1038      F  7    Uni MidWC     31
1039      F  7    Uni  Prof     31
1040      M  5    Man  Shop     31
1041      M  6    Gen  Shop     31
1042      M  6    Gen  Shop     31
1043      F  5    Gen MidWC     31
1044      F  8    Uni  Prof     31
1045      F  8    Uni  Prof     31
1046      M  6    Gen  Shop     31
1047      F  8    Uni  Prof     31
1048      F  5    Man  Shop     31
1049      F  5    Gen  Shop     31
1050      F  5    Gen  Prof     31
1051      M  7    Gen  Shop     31
1052      F  8    Uni  Prof     31
1053      M  5    Man  Shop     31
1054      M  6    Man  Shop     31
1055      M  5    Man MidWC     31
1056      M  5    Gen  Shop     31
1057      F  8    Uni MidWC     31
1058      F  4    Man  Skil     31
1059      M  6    Gen  Shop     31
1060      F  9    Uni  Prof     31
1061      F  6    Ext  Prof     31
1062      F  5    Man  Skil     31
1063      F  6    Man  Prof     31
1064      F  5    Gen MidWC     31
1065      F  6    Gen  Prof     31
1066      F  5    Man  Skil     31
1067      F  7    Uni  Prof     31
1068      M  5    Gen MidWC     31
1069      F  5    Man MidWC     31
1070      M  5    Man  Shop     31
1071      F  4    Agr  Prof     31
1072      M  6    Gen MidWC     31
1073      M  9    Uni  Prof     31
1074      M  5    Man  Shop     31
1075      M  3    Ext  Shop     31
1076      M  4    Man  Shop     31
1077      F  5    Man MidWC     31
1078      F  8    Uni  Prof     31
1079      M  6    Ext MidWC     32
1080      F  7    Uni  Prof     32
1081      F  7    Uni  Prof     32
1082      F  8    Uni  Prof     32
1083      M  4    Ext  Prof     32
1084      F  5    Ext  Prof     32
1085      F  5    Ext  Prof     32
1086      M  7    Gen  Shop     32
1087      M  8    Uni  Prof     32
1088      F  6    Gen MidWC     32
1089      M  6    Gen  Shop     32
1090      M  6    Uni  Shop     32
1091      F  7    Ext MidWC     32
1092      F  5    Man  Shop     32
1093      F  8    Uni MidWC     32
1094      F  6    Gen MidWC     32
1095      M  5   Grls  Shop     32
1096      M  7    Uni MidWC     32
1097      F  7    Gen  Skil     32
1098      M  7    Ext MidWC     32
1099      F  8    Uni MidWC     32
1100      F  8    Uni  LoWC     32
1101      M  4    Ext  Shop     32
1102      M  6    Ext MidWC     32
1103      M  5   Grls MidWC     32
1104      M  7    Uni  Prof     32
1105      F  5    Ext MidWC     32
1106      F  4    Ext MidWC     32
1107      F  5    Ext MidWC     32
1108      M  6    Uni  Prof     32
1109      F  6    Ext  Prof     32
1110      M  7   Grls  Shop     32
1111      F  8    Ext  LoWC     32
1112      M  4    Ext  Shop     32
1113      M  7    Uni  Shop     32
1114      M  7    Uni MidWC     32
1115      F  6    Gen  Skil     32
1116      F  5    Uni  Shop     32
1117      F  5    Agr  LoWC     32
1118      M  5    Ext  Shop     32
1119      M  6   Grls  Shop     32
1120      F  6    Gen MidWC     32
1121      F  7    Uni  Shop     32
1122      M  4    Man  Shop     32
1123      M  6   Grls  Shop     32
1124      M  7   Grls  Shop     32
1125      F  5    Gen  Shop     32
1126      M  7    Uni  Prof     32
1127      M  6    Uni  Prof     32
1128      F  7    Uni  Shop     32
1129      M  7    Uni MidWC     32
1130      F  4    Ext  Prof     32
1131      F  6    Uni  Prof     32
1132      M  3    Man  Shop     32
1133      F  8    Uni MidWC     32
1134      M  8    Uni MidWC     32
1135      F  7    Uni  LoWC     32
1136      M  5    Man MidWC     33
1137      F  9    Uni  Prof     33
1138      F  6    Gen  Prof     33
1139      M  7    Gen MidWC     33
1140      F  7    Uni  Skil     33
1141      F  6    Gen  Prof     33
1142      F  5    Man  Skil     33
1143      M  4    Man  Shop     33
1144      M  8    Uni MidWC     33
1145      F  4    Ext  LoWC     33
1146      M  6    Gen  Skil     33
1147      F  5    Man  Skil     33
1148      F  5    Man  Skil     33
1149      F  6    Gen MidWC     33
1150      M  6    Gen MidWC     33
1151      M  4    Man MidWC     33
1152      M  4    Gen  Shop     33
1153      F  7    Uni  Prof     33
1154      F  5    Man  Prof     33
1155      M  5    Gen MidWC     33
1156      M  6    Gen MidWC     33
1157      M  5    Gen  Shop     33
1158      M  4    Ext MidWC     33
1159      F  7    Uni  Prof     33
1160      M  5    Man  Shop     33
1161      M  4    Man MidWC     33
1162      F  7    Uni  Prof     33
1163      F  6    Gen MidWC     33
1164      F  5    Man MidWC     33
1165      M  6    Gen MidWC     33
1166      F  5    Man  Skil     33
1167      F  6    Man  Prof     33
1168      F  6    Gen  Shop     33
1169      M  6    Gen  Shop     33
1170      F  7    Gen  Skil     33
1171      M  7    Gen  Shop     33
1172      M  4    Man  Shop     33
1173      M  6    Gen  Shop     34
1174      M  5    Man  Shop     34
1175      F  6    Gen  Shop     34
1176      F  5    Gen  Skil     34
1177      M  5    Gen  Skil     34
1178      M  5    Gen  Shop     34
1179      F  5    Ext  Shop     34
1180      M  8    Uni  Shop     34
1181      M  4    Man  Shop     34
1182      F  5    Man  Skil     34
1183      M  8    Uni  Shop     34
1184      F  6    Gen  Shop     34
1185      F  5    Man  Skil     34
1186      M  5    Man  Shop     34
1187      M  7    Uni MidWC     34
1188      M  5    Man  Shop     34
1189      M  6    Gen  Shop     34
1190      F  5    Man  Shop     34
1191      F  5    Gen  Prof     34
1192      M  7    Uni  Shop     34
1193      M  6    Gen  Shop     34
1194      M  7    Gen MidWC     34
1195      F  8    Uni  Shop     34
1196      F  7    Uni MidWC     34
1197      F  8    Uni MidWC     34
1198      M  7    Uni MidWC     34
1199      M  4    Man  Shop     34
1200      F  7    Uni  Prof     34
1201      M  5    Man  Shop     34
1202      M  7    Gen MidWC     34
1203      M  6    Gen  Shop     34
1204      F  6    Gen MidWC     34
1205      F  7    Gen  Skil     34
1206      F  6    Gen  Shop     34
1207      F  7    Uni  Skil     34
1208      M  6    Gen  Shop     34
1209      F  6    Gen  Shop     34
1210      F  5    Gen MidWC     34
1211      M  6    Gen  Prof     34
1212      F  4    Man  Skil     35
1213      F  4    Ext  LoWC     35
1214      M  3    Ext MidWC     35
1215      F  5    Gen  Shop     35
1216      M  5    Gen  Prof     35
1217      M  5    Gen MidWC     35
1218      M  5    Man MidWC     35
1219      M  4    Man  Shop     35
1220      M  5    Man  Skil     35
1221      F  5    Man  Skil     35
1222      F  5    Gen  Shop     35
1223      M  4    Gen  Shop     35
1224      M  7    Gen MidWC     35
1225      F  6    Agr  Shop     35
1226      M  4    Ext  Shop     35
1227      M  2    Ext  Shop     35
1228      F  5    Man  Shop     35
1229      F  5    Gen  Skil     35
1230      M  3    Ext  Shop     35
1231      F  7    Uni  Skil     35
1232      F  5    Man  Skil     35
1233      F  5    Man  Skil     35
1234      M  5    Ext  Skil     35
1235      M  5    Man  Skil     35
1236      F  6    Man  Skil     35
1237      F  4    Man MidWC     35
1238      F  5    Ext  Skil     35
1239      M  6    Uni MidWC     35
1240      M  5    Man  Skil     35
1241      M  6    Gen MidWC     35
1242      M  4    Ext  Skil     35
1243      M  5    Gen MidWC     35
1244      F  5    Man  Skil     35
1245      F  6    Man  Shop     35
1246      M  8    Uni  Prof     35
1247      M  4    Man  Shop     36
1248      F  5    Man  LoWC     36
1249      F  5    Gen  Prof     36
1250      F  6    Gen MidWC     36
1251      M  4    Man  Shop     36
1252      F  4    Man  Shop     36
1253      M  4    Man  Shop     36
1254      M  5    Man  Shop     36
1255      M  3    Man MidWC     36
1256      F  6    Gen  Skil     36
1257      F  6    Gen  Shop     36
1258      M  4    Man  Shop     36
1259      M  7    Gen  Shop     36
1260      F  5    Man  Prof     36
1261      M  3    Man  Shop     36
1262      F  5    Man MidWC     36
1263      F  4    Man  Shop     36
1264      F  4    Man MidWC     36
1265      F  5    Man  Skil     36
1266      F  6    Gen MidWC     36
1267      M  5    Man  Shop     36
1268      M  6    Gen  Skil     36
1269      M  4    Man  Shop     36
1270      M  4    Man  Shop     36
1271      M  4    Man  Shop     36
1272      M  4    Ext  Skil     36
1273      F  4    Agr  Skil     36
1274      M  4    Man  Shop     36
1275      F  5    Man  LoWC     37
1276      M  4    Ext  Shop     37
1277      F  5    Man  LoWC     37
1278      M  4    Man  Shop     37
1279      M  3    Ext  Shop     37
1280      M  5    Man  Shop     37
1281      F  6    Man  Skil     37
1282      M  4    Man  Skil     37
1283      F  8    Uni  Skil     37
1284      F  5    Man  LoWC     37
1285      M  3    Ext  Unsk     37
1286      F  6    Man  Skil     37
1287      M  7    Gen  Skil     37
1288      M  3    Ext  Unsk     37
1289      F  2   None  LoWC     37
1290      M  3    Ext  Shop     37

