"Party" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"Jackson-Lee" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Jefferson" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "-" "-" "+" "+" "+" "+" "+" "+" "-"
"Jenkins" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"John" "(D)" "-" "-" "+" "+" "+" "-" NA "-" "+" "-" "-" "-" "-" "+" "+" "-" "-" "+" "+" "-"
"Johnson" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Johnson1" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "+" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Johnson2" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-"
"Johnson3" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Jones" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Jones1" "(R)" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Kanjorski" "(D)" "+" "+" "+" "-" "-" "-" "+" "+" "+" "-" "+" "-" "-" "+" "+" "+" "-" "+" "+" "+"
"Kaptur" "(D)" "+" "+" "+" "+" "+" "-" "+" NA "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Keller" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Kelly" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Kennedy" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Kennedy2" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-"
"Kerns" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Kildee" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Kilpatrick" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Kind" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"King" "(R)" "-" "+" "-" "-" "-" "-" "-" NA "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Kingston" "(R)" NA "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Kirk" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Kleczka" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Knollenberg" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Kolbe" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Kucinich" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"LaFalce" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "-" "+" "+" "+"
"LaHood" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-"
"LaTourette" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-" "+"
"Lampson" "(D)" "+" "+" "+" NA "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Langevin" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Lantos" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Largent" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Larsen" "(D)" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Larson" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Latham" "(R)" "-" "-" "-" "-" NA "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Leach" "(R)" "-" "-" "-" "-" "-" NA "+" "-" "+" "+" "+" "-" "+" "+" "-" "+" "+" "-" "+" "-"
"Lee" "(D)" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Levin" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Lewis" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Lewis1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-"
"Lewis2" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Linder" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Lipinski" "(D)" "-" "+" "+" "-" "+" "-" "-" NA "+" "-" "-" "+" NA NA NA "-" "-" "+" "+" "+"
"LoBiondo" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "+" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "+"
"Lofgren" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Lowey" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Lucas" "(D)" "-" "+" "-" "-" "+" "-" "+" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-"
"Lucas1" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Luther" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Lynch" "(D)" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "+" "+"
"Maloney" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Maloney1" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Manzullo" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Markey" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Mascara" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "-" "+" "+" "-" "-" "+" "+" "+"
"Matheson" "(D)" "-" "+" "+" "-" "+" "-" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Matsui" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"McCarthy" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"McCarthy1" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"McCollum" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"McCrery" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-"
"McDermott" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"McGovern" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"McHugh" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "+"
"McInnis" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-"
"McIntyre" "(D)" "+" "-" "-" "+" "+" "-" "+" NA "+" "-" "-" "+" "+" "+" "+" "-" "-" "+" "+" "+"
"McKeon" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"McKinney" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA NA "+" "+" "+" "+" "+" "+" "+" "+"
"McNulty" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "-" "+" "+" "+"
"Meehan" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Meek" "(D)" "+" "+" "+" "+" "+" NA "+" NA "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" NA
"Meeks" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" NA NA "+" "+" "+"
"Menendez" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Mica" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Millender-McDonald" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Miller" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Miller1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" NA "-" "-"
"Miller2" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Miller3" "(R)" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-" "-"
"Mink" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Moakley" "(D)" "+" "+" "+" "+" "+" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mollohan" "(D)" "-" "+" "+" "+" "+" "-" "+" "+" "+" "-" "-" "+" "-" "+" "+" "+" NA NA "+" "+"
"Moore" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Moran" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Moran1" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Morella" "(R)" "-" "-" "-" "-" "+" "+" "+" "-" "+" "-" "+" "-" "+" "+" "-" "+" "+" "-" "+" "-"
"Murtha" "(D)" "+" "+" "+" "-" "-" "-" "+" "+" "+" "-" "+" "-" "-" "+" "+" "+" "-" "+" "+" "+"
"Myrick" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Nadler" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+"
"Napolitano" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Neal" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Nethercutt" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Ney" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Northup" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Norwood" "(R)" NA "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Nussle" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Oberstar" "(D)" "+" "+" "+" "+" "+" "-" "+" NA "+" "+" "+" "-" "-" "+" "+" "+" "-" "+" "+" "+"
"Obey" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Olver" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Ortiz" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "-" "-" "+" "+" "+" "-" "+" "+" "-"
"Osborne" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Ose" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Otter" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Owens" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+"
"Oxley" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Pallone" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Pascrell" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Pastor" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Paul" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" NA "+" "-" "-" "-" NA NA "-" "-" "-" "-" "+"
"Payne" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Pelosi" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Pence" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Peterson" "(D)" "-" "+" "-" "+" "+" "-" "+" "-" "+" "+" "-" "+" "-" "-" "-" NA NA "+" "+" "+"
"Peterson1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-"
"Petri" "(R)" "-" "+" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-"
"Phelps" "(D)" "-" "+" "+" "+" "+" "-" "+" "+" "+" "-" "-" "+" "-" "+" "+" "-" "-" "+" "+" "+"
"Pickering" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Pitts" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Platts" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Pombo" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Pomeroy" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Portman" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Price" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Pryce" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Putnam" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+"
"Quinn" "(R)" "-" "+" "-" "-" "-" "-" "+" NA "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "+" NA
"Radanovich" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Rahall" "(D)" "+" "+" "+" "+" "+" "-" "+" NA "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Ramstad" "(R)" "+" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-"
"Rangel" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Regula" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-" "+"
"Rehberg" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Reyes" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Reynolds" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Riley" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Rivers" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Rodriguez" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Roemer" "(D)" "-" "+" "+" "+" "+" "-" "+" "-" "+" "-" "+" "-" "+" "+" "+" "+" "-" "+" "+" "+"
"Rogers" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Rogers1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Rohrabacher" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-" "-"
"Ros-Lehtinen" "(R)" NA "-" "-" NA "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-" "-"
"Ross" "(D)" "-" "+" "+" "+" "+" "-" "+" "-" "+" "-" "-" "+" "-" "+" "+" "+" "-" "+" "+" "+"
"Rothman" "(D)" NA "+" "+" NA "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Roukema" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "+" "-" "-" "-" "+" "+" "-" "-" "+" "-" "-" NA
"Roybal-Allard" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Royce" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Rush" "(D)" "+" "+" "+" "+" "+" NA "+" NA "+" "-" "+" "+" "+" "+" "+" NA NA "+" "+" "+"
"Ryan" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Ryun" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Sabo" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Sanchez" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Sanders" "(I)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Sandlin" "(D)" "-" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Sawyer" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Saxton" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" NA "+" "-" "-" "-" "-" "-" "-" "-"
"Scarborough" "(R)" "-" "-" "-" "-" "-" "-" "-" NA "+" "-" "-" "+" "-" "-" "-" NA NA NA NA NA
"Schaffer" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Schakowsky" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Schiff" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" NA "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Schrock" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Scott" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Sensenbrenner" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "-"
"Serrano" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" NA NA "+" "+" "+"
"Sessions" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Shadegg" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Shaw" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Shays" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "+" "+" "+" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Sherman" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Sherwood" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Shimkus" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Shows" "(D)" "-" "-" "-" "+" "+" "-" "+" "-" "+" "-" "-" "-" "-" "+" "+" "-" "-" "-" "+" "+"
"Shuster" "(R)" NA NA NA NA NA NA "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Simmons" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "+" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "+"
"Simpson" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Sisisky" "(D)" "-" "-" "+" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Skeen" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Skelton" "(D)" "-" "-" NA "+" "+" "-" "+" "+" "+" "-" "-" "-" "-" "+" "+" "+" "-" "+" "+" "-"
"Slaughter" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Smith" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+"
"Smith1" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "+" "+" "-" "-" "-" "-" "-" "+"
"Smith2" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-"
"Smith3" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Snyder" "(D)" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Solis" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Souder" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Spence" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA NA NA NA NA NA NA NA NA NA NA
"Spratt" "(D)" "+" "-" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Stark" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+" "+" "+" "+"
"Stearns" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Stenholm" "(D)" "-" "-" "+" "+" "+" "-" "+" "+" "+" "-" "-" "-" "-" "+" "+" "-" "-" "+" "+" "-"
"Strickland" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
